city,date,team1,team2,venue,toss_winner,toss_decision,win_by_runs,win_by_wickets,winner
London,06-07-2004,England,West Indies,Lord's,West Indies,field,0,7,West Indies
Leeds,01-07-2004,West Indies,England,Headingley,England,field,0,7,England
Chester-le-Street,29-06-2004,England,New Zealand,Riverside Ground,New Zealand,field,0,7,New Zealand
Nottingham,27-06-2004,England,West Indies,Trent Bridge,West Indies,field,0,7,West Indies
Harare,29-05-2004,Zimbabwe,Australia,Harare Sports Club,Australia,field,0,8,Australia
Harare,27-05-2004,Australia,Zimbabwe,Harare Sports Club,Zimbabwe,field,139,0,Australia
Harare,25-05-2004,Zimbabwe,Australia,Harare Sports Club,Zimbabwe,bat,0,7,Australia
St George's,19-05-2004,Bangladesh,West Indies,National Cricket Stadium,Bangladesh,bat,0,7,West Indies
Kingstown,16-05-2004,West Indies,Bangladesh,Arnos Vale Ground,Bangladesh,field,23,0,West Indies
Kingstown,15-05-2004,Bangladesh,West Indies,Arnos Vale Ground,West Indies,field,0,1,West Indies
Gros Islet,02-05-2004,England,West Indies,Daren Sammy National Cricket Stadium,West Indies,field,0,4,West Indies
Harare,27-04-2004,Sri Lanka,Zimbabwe,Harare Sports Club,Zimbabwe,field,72,0,Sri Lanka
Port of Spain,24-04-2004,West Indies,England,Queen's Park Oval,West Indies,bat,0,0,
Bulawayo,20-04-2004,Zimbabwe,Sri Lanka,Queens Sports Club,Sri Lanka,field,12,0,Sri Lanka
Lahore,24-03-2004,India,Pakistan,Gaddafi Stadium,Pakistan,field,40,0,India
Lahore,21-03-2004,Pakistan,India,Gaddafi Stadium,Pakistan,bat,0,5,India
Peshawar,19-03-2004,India,Pakistan,Arbab Niaz Stadium,Pakistan,field,0,4,Pakistan
Rawalpindi,16-03-2004,Pakistan,India,Rawalpindi Cricket Stadium,Pakistan,bat,12,0,Pakistan
Harare,14-03-2004,Bangladesh,Zimbabwe,Harare Sports Club,Bangladesh,bat,0,3,Zimbabwe
Colombo,27-02-2004,Australia,Sri Lanka,R.Premadasa Stadium,Australia,bat,40,0,Australia
Dunedin,25-02-2004,South Africa,New Zealand,Carisbrook,New Zealand,field,0,6,New Zealand
Dambulla,22-02-2004,Sri Lanka,Australia,Rangiri Dambulla International Stadium,Sri Lanka,bat,1,0,Sri Lanka
Dambulla,20-02-2004,Australia,Sri Lanka,Rangiri Dambulla International Stadium,Australia,bat,84,0,Australia
Sydney,08-02-2004,Australia,India,Sydney Cricket Ground,Australia,bat,208,0,Australia
Melbourne,06-02-2004,India,Australia,Melbourne Cricket Ground,India,bat,0,7,Australia
Perth,01-02-2004,India,Australia,W.A.C.A. Ground,India,bat,0,5,Australia
Centurion,01-02-2004,South Africa,West Indies,SuperSport Park,South Africa,bat,0,7,West Indies
Durban,30-01-2004,West Indies,South Africa,Kingsmead,West Indies,bat,0,0,
Melbourne,29-01-2004,Australia,Zimbabwe,Melbourne Cricket Ground,Zimbabwe,field,0,0,
Cape Town,25-01-2004,South Africa,West Indies,Newlands,South Africa,bat,209,0,South Africa
Sydney,22-01-2004,India,Australia,Sydney Cricket Ground,India,bat,0,2,Australia
Brisbane,20-01-2004,India,Zimbabwe,Brisbane Cricket Ground,India,bat,24,0,India
Brisbane,18-01-2004,India,Australia,Brisbane Cricket Ground,India,bat,19,0,India
Hobart,16-01-2004,Australia,Zimbabwe,Bellerive Oval,Australia,bat,148,0,Australia
Hobart,14-01-2004,Zimbabwe,India,Bellerive Oval,Zimbabwe,bat,0,7,India
Sydney,11-01-2004,Australia,Zimbabwe,Sydney Cricket Ground,Australia,bat,99,0,Australia
Melbourne,09-01-2004,Australia,India,Melbourne Cricket Ground,Australia,bat,18,0,Australia
Auckland,03-01-2004,Pakistan,New Zealand,Eden Park,New Zealand,field,0,4,New Zealand
Rawalpindi,05-12-2003,New Zealand,Pakistan,Rawalpindi Cricket Stadium,New Zealand,bat,0,7,Pakistan
Lahore,01-12-2003,Pakistan,New Zealand,"Gaddafi Stadium, Lahore",Pakistan,bat,124,0,Pakistan
Harare,30-11-2003,Zimbabwe,West Indies,Harare Sports Club,Zimbabwe,bat,0,8,West Indies
Harare,29-11-2003,West Indies,Zimbabwe,Harare Sports Club,Zimbabwe,field,72,0,West Indies
Lahore,29-11-2003,New Zealand,Pakistan,"Gaddafi Stadium, Lahore",New Zealand,bat,0,3,Pakistan
Harare,26-11-2003,Zimbabwe,West Indies,Harare Sports Club,West Indies,field,21,0,Zimbabwe
Bulawayo,23-11-2003,West Indies,Zimbabwe,"Queens Sports Club, Bulawayo",West Indies,bat,0,6,Zimbabwe
Dambulla,18-11-2003,England,Sri Lanka,Rangiri Dambulla International Stadium,England,bat,0,10,Sri Lanka
Hyderabad,15-11-2003,India,New Zealand,"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",India,bat,145,0,India
Dhaka,12-11-2003,Bangladesh,England,"Bangabandhu National Stadium, Dhaka",Bangladesh,bat,0,7,England
Dhaka,10-11-2003,Bangladesh,England,"Bangabandhu National Stadium, Dhaka",Bangladesh,bat,0,7,England
Chattogram,07-11-2003,Bangladesh,England,"MA Aziz Stadium, Chittagong",Bangladesh,bat,0,7,England
Cuttack,06-11-2003,India,New Zealand,"Barabati Stadium, Cuttack",India,bat,0,4,New Zealand
Pune,03-11-2003,New Zealand,Australia,"Nehru Stadium, Poona",Australia,field,0,2,Australia
Mumbai,01-11-2003,Australia,India,"Wankhede Stadium, Mumbai",Australia,bat,77,0,Australia
Faridabad,29-10-2003,New Zealand,Australia,"Nahar Singh Stadium, Faridabad",New Zealand,bat,0,8,Australia
Gwalior,26-10-2003,India,Australia,"Captain Roop Singh Stadium, Gwalior",India,bat,37,0,India
Chennai,23-10-2003,India,New Zealand,"MA Chidambaram Stadium, Chepauk, Chennai",India,bat,0,0,
Rawalpindi,12-10-2003,Pakistan,South Africa,Rawalpindi Cricket Stadium,Pakistan,bat,0,7,South Africa
Rawalpindi,10-10-2003,Pakistan,South Africa,Rawalpindi Cricket Stadium,Pakistan,bat,0,6,South Africa
Faisalabad,07-10-2003,Pakistan,South Africa,"Iqbal Stadium, Faisalabad",Pakistan,bat,13,0,South Africa
Lahore,05-10-2003,Pakistan,South Africa,"Gaddafi Stadium, Lahore",South Africa,field,42,0,Pakistan
Lahore,03-10-2003,Pakistan,South Africa,"Gaddafi Stadium, Lahore",Pakistan,bat,8,0,Pakistan
Karachi,21-09-2003,Pakistan,Bangladesh,"National Stadium, Karachi",Pakistan,bat,58,0,Pakistan
Rawalpindi,18-09-2003,Bangladesh,Pakistan,Rawalpindi Cricket Stadium,Bangladesh,bat,0,5,Pakistan
Multan,09-09-2003,Pakistan,Bangladesh,Multan Cricket Stadium,Pakistan,bat,137,0,Pakistan
Darwin,06-08-2003,Australia,Bangladesh,"Marrara Cricket Ground, Darwin",Australia,bat,112,0,Australia
Cairns,03-08-2003,Bangladesh,Australia,"Bundaberg Rum Stadium, Cairns",Bangladesh,bat,0,9,Australia
Cairns,02-08-2003,Bangladesh,Australia,"Bundaberg Rum Stadium, Cairns",Australia,field,0,8,Australia
London,12-07-2003,South Africa,England,"Lord's, London",England,field,0,7,England
Southampton,10-07-2003,Zimbabwe,South Africa,"The Rose Bowl, Southampton",Zimbabwe,bat,0,7,South Africa
Bristol,06-07-2003,Zimbabwe,England,"The Royal & Sun Alliance County Ground, Bristol",England,field,0,6,England
Manchester,03-07-2003,England,South Africa,"Old Trafford, Manchester",England,bat,0,7,South Africa
Leeds,01-07-2003,England,Zimbabwe,"Headingley, Leeds",Zimbabwe,field,0,0,
Canterbury,29-06-2003,South Africa,Zimbabwe,"St Lawrence Ground, Canterbury",Zimbabwe,field,46,0,South Africa
London,28-06-2003,South Africa,England,"Kennington Oval, London",South Africa,bat,0,6,England
Nottingham,26-06-2003,England,Zimbabwe,"Trent Bridge, Nottingham",Zimbabwe,field,0,4,Zimbabwe
London,22-06-2003,Pakistan,England,"Lord's, London",England,field,0,4,England
London,20-06-2003,Pakistan,England,"Kennington Oval, London",Pakistan,bat,0,7,England
Manchester,17-06-2003,England,Pakistan,"Old Trafford, Manchester",England,bat,0,2,Pakistan
Kingstown,11-06-2003,Sri Lanka,West Indies,"Arnos Vale Ground, Kingstown, St Vincent",West Indies,field,0,6,West Indies
Bridgetown,07-06-2003,Sri Lanka,West Indies,"Kensington Oval, Bridgetown, Barbados",West Indies,field,55,0,Sri Lanka
St George's,01-06-2003,Australia,West Indies,"Queen's Park (New), St George's, Grenada",Australia,bat,0,9,West Indies
St George's,30-05-2003,Australia,West Indies,"Queen's Park (New), St George's, Grenada",Australia,bat,0,3,West Indies
Dambulla,23-05-2003,Pakistan,New Zealand,Rangiri Dambulla International Stadium,Pakistan,bat,0,4,New Zealand
Dambulla,19-05-2003,New Zealand,Sri Lanka,Rangiri Dambulla International Stadium,Sri Lanka,field,9,0,New Zealand
Kingston,17-05-2003,Australia,West Indies,"Sabina Park, Kingston, Jamaica",West Indies,field,2,0,Australia
Dambulla,11-05-2003,Pakistan,New Zealand,Rangiri Dambulla International Stadium,New Zealand,field,0,7,New Zealand
Dambulla,10-05-2003,Pakistan,Sri Lanka,Rangiri Dambulla International Stadium,Sri Lanka,field,79,0,Pakistan
Dhaka,21-04-2003,India,South Africa,"Bangabandhu National Stadium, Dhaka",India,bat,0,0,
Sharjah,10-04-2003,Zimbabwe,Pakistan,Sharjah Cricket Association Stadium,Zimbabwe,bat,0,8,Pakistan
Sharjah,08-04-2003,Pakistan,Kenya,Sharjah Cricket Association Stadium,Pakistan,bat,143,0,Pakistan
Sharjah,07-04-2003,Sri Lanka,Zimbabwe,Sharjah Cricket Association Stadium,Sri Lanka,bat,0,4,Zimbabwe
Sharjah,06-04-2003,Sri Lanka,Kenya,Sharjah Cricket Association Stadium,Sri Lanka,bat,129,0,Sri Lanka
Sharjah,05-04-2003,Kenya,Zimbabwe,Sharjah Cricket Association Stadium,Kenya,bat,0,5,Zimbabwe
Sharjah,04-04-2003,Sri Lanka,Pakistan,Sharjah Cricket Association Stadium,Sri Lanka,bat,0,7,Pakistan
Sharjah,03-04-2003,Pakistan,Zimbabwe,Sharjah Cricket Association Stadium,Pakistan,bat,68,0,Pakistan
Johannesburg,23-03-2003,Australia,India,"New Wanderers Stadium, Johannesburg",India,field,125,0,Australia
Durban,20-03-2003,India,Kenya,"Kingsmead, Durban",India,bat,91,0,India
Gqeberha,18-03-2003,Australia,Sri Lanka,"St George's Park, Port Elizabeth",Australia,bat,48,0,Australia
East London,15-03-2003,Sri Lanka,Zimbabwe,"Buffalo Park, East London",Sri Lanka,bat,74,0,Sri Lanka
Durban,15-03-2003,Kenya,Australia,"Kingsmead, Durban",Australia,field,0,5,Australia
Centurion,14-03-2003,New Zealand,India,"SuperSport Park, Centurion",India,field,0,7,India
Bloemfontein,12-03-2003,Zimbabwe,Kenya,"Goodyear Park, Bloemfontein",Zimbabwe,bat,0,7,Kenya
Gqeberha,11-03-2003,Australia,New Zealand,"St George's Park, Port Elizabeth",New Zealand,field,96,0,Australia
Johannesburg,10-03-2003,India,Sri Lanka,"New Wanderers Stadium, Johannesburg",Sri Lanka,field,183,0,India
Bloemfontein,08-03-2003,Zimbabwe,New Zealand,"Goodyear Park, Bloemfontein",Zimbabwe,bat,0,6,New Zealand
Cape Town,07-03-2003,Kenya,India,"Newlands, Cape Town",Kenya,bat,0,6,India
Centurion,07-03-2003,Australia,Sri Lanka,"SuperSport Park, Centurion",Australia,bat,96,0,Australia
Bulawayo,04-03-2003,Pakistan,Zimbabwe,"Queens Sports Club, Bulawayo",Pakistan,bat,0,0,
Benoni,03-03-2003,Canada,New Zealand,"Willowmoore Park, Benoni",New Zealand,field,0,5,New Zealand
Durban,03-03-2003,Sri Lanka,South Africa,"Kingsmead, Durban",Sri Lanka,bat,0,0,
Bloemfontein,03-03-2003,Netherlands,Namibia,"Goodyear Park, Bloemfontein",Netherlands,bat,64,0,Netherlands
Gqeberha,02-03-2003,England,Australia,"St George's Park, Port Elizabeth",England,bat,0,2,Australia
Centurion,01-03-2003,Pakistan,India,"SuperSport Park, Centurion",Pakistan,bat,0,6,India
Johannesburg,01-03-2003,Kenya,Bangladesh,"New Wanderers Stadium, Johannesburg",Kenya,bat,32,0,Kenya
Cape Town,28-02-2003,Sri Lanka,West Indies,"Newlands, Cape Town",Sri Lanka,bat,6,0,Sri Lanka
Bulawayo,28-02-2003,Zimbabwe,Netherlands,"Queens Sports Club, Bulawayo",Netherlands,field,99,0,Zimbabwe
East London,27-02-2003,South Africa,Canada,"Buffalo Park, East London",Canada,field,118,0,South Africa
Potchefstroom,27-02-2003,Australia,Namibia,"North West Cricket Stadium, Potchefstroom",Australia,bat,256,0,Australia
Kimberley,26-02-2003,Bangladesh,New Zealand,"De Beers Diamond Oval, Kimberley",Bangladesh,bat,0,7,New Zealand
Durban,26-02-2003,India,England,"Kingsmead, Durban",India,bat,82,0,India
Paarl,25-02-2003,Pakistan,Netherlands,"Boland Bank Park, Paarl",Netherlands,field,97,0,Pakistan
Bulawayo,24-02-2003,Zimbabwe,Australia,"Queens Sports Club, Bulawayo",Zimbabwe,bat,0,7,Australia
Nairobi,24-02-2003,Kenya,Sri Lanka,"Gymkhana Club Ground, Nairobi",Sri Lanka,field,53,0,Kenya
Centurion,23-02-2003,Canada,West Indies,"SuperSport Park, Centurion",West Indies,field,0,7,West Indies
Pietermaritzburg,23-02-2003,India,Namibia,"City Oval, Pietermaritzburg",Namibia,field,181,0,India
Bloemfontein,22-02-2003,Bangladesh,South Africa,"Goodyear Park, Bloemfontein",South Africa,field,0,10,South Africa
Cape Town,22-02-2003,England,Pakistan,"Newlands, Cape Town",England,bat,112,0,England
Paarl,19-02-2003,Canada,Sri Lanka,"Boland Bank Park, Paarl",Sri Lanka,field,0,9,Sri Lanka
Gqeberha,19-02-2003,England,Namibia,"St George's Park, Port Elizabeth",Namibia,field,55,0,England
Harare,19-02-2003,India,Zimbabwe,Harare Sports Club,Zimbabwe,field,83,0,India
Benoni,18-02-2003,West Indies,Bangladesh,"Willowmoore Park, Benoni",Bangladesh,field,0,0,
Kimberley,16-02-2003,Pakistan,Namibia,"De Beers Diamond Oval, Kimberley",Pakistan,bat,171,0,Pakistan
East London,16-02-2003,Netherlands,England,"Buffalo Park, East London",England,field,0,6,England
Johannesburg,16-02-2003,South Africa,New Zealand,"New Wanderers Stadium, Johannesburg",South Africa,bat,0,9,New Zealand
Centurion,15-02-2003,India,Australia,"SuperSport Park, Centurion",India,bat,0,9,Australia
Cape Town,15-02-2003,Canada,Kenya,"Newlands, Cape Town",Canada,bat,0,4,Kenya
Gqeberha,13-02-2003,New Zealand,West Indies,"St George's Park, Port Elizabeth",West Indies,field,20,0,New Zealand
Potchefstroom,12-02-2003,Kenya,South Africa,"North West Cricket Stadium, Potchefstroom",Kenya,bat,0,10,South Africa
Paarl,12-02-2003,India,Netherlands,"Boland Bank Park, Paarl",India,bat,68,0,India
Durban,11-02-2003,Canada,Bangladesh,"Kingsmead, Durban",Canada,bat,60,0,Canada
Johannesburg,11-02-2003,Australia,Pakistan,"New Wanderers Stadium, Johannesburg",Pakistan,field,82,0,Australia
Bloemfontein,10-02-2003,Sri Lanka,New Zealand,"Goodyear Park, Bloemfontein",New Zealand,field,47,0,Sri Lanka
Harare,10-02-2003,Zimbabwe,Namibia,Harare Sports Club,Namibia,field,86,0,Zimbabwe
Cape Town,09-02-2003,West Indies,South Africa,"Newlands, Cape Town",West Indies,bat,3,0,West Indies
Melbourne,25-01-2003,Australia,England,Melbourne Cricket Ground,Australia,bat,5,0,Australia
Sydney,23-01-2003,England,Australia,Sydney Cricket Ground,England,bat,0,10,Australia
Melbourne,21-01-2003,Sri Lanka,Australia,Melbourne Cricket Ground,Sri Lanka,bat,0,9,Australia
Adelaide,19-01-2003,England,Australia,Adelaide Oval,England,bat,0,4,Australia
Adelaide,17-01-2003,England,Sri Lanka,Adelaide Oval,England,bat,19,0,England
Brisbane,15-01-2003,Sri Lanka,Australia,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Sri Lanka,bat,0,4,Australia
Hamilton,14-01-2003,India,New Zealand,"Westpac Park, Hamilton",New Zealand,field,0,6,New Zealand
Sydney,13-01-2003,Sri Lanka,England,Sydney Cricket Ground,Sri Lanka,bat,31,0,Sri Lanka
Hobart,11-01-2003,Australia,England,"Bellerive Oval, Hobart",Australia,bat,7,0,Australia
Sydney,09-01-2003,Sri Lanka,Australia,Sydney Cricket Ground,Australia,field,79,0,Sri Lanka
Wellington,08-01-2003,New Zealand,India,"Westpac Stadium, Wellington",New Zealand,bat,0,2,India
Queenstown,04-01-2003,India,New Zealand,"Davies Park, Queenstown",New Zealand,field,0,7,New Zealand
Christchurch,01-01-2003,India,New Zealand,"Jade Stadium, Christchurch",India,bat,0,5,New Zealand
Napier,29-12-2002,New Zealand,India,"McLean Park, Napier",India,field,35,0,New Zealand
Ahmedabad,05-10-2023,England,New Zealand,Narendra Modi Stadium,New Zealand,field,0,9,New Zealand
Hyderabad,06-10-2023,Pakistan,Netherlands,Rajiv Gandhi International Stadium,Netherlands,field,81,0,Pakistan
Dharamsala,07-10-2023,Afghanistan,Bangladesh,Himachal Pradesh Cricket Association Stadium,Bangladesh,field,0,6,Bangladesh
Delhi,07-10-2023,South Africa,Sri Lanka,Arun Jaitley Stadium,Sri Lanka,field,102,0,South Africa
Chennai,08-10-2023,Australia,India,MA Chidambaram Stadium,Australia,bat,0,6,India
Hyderabad,09-10-2023,New Zealand,Netherlands,Rajiv Gandhi International Stadium,Netherlands,field,99,0,New Zealand
Dharamsala,10-10-2023,England,Bangladesh,Himachal Pradesh Cricket Association Stadium,Bangladesh,field,137,0,England
Hyderabad,10-10-2023,Sri Lanka,Pakistan,Rajiv Gandhi International Stadium,Sri Lanka,bat,0,6,Pakistan
Delhi,11-10-2023,Afghanistan,India,Arun Jaitley Stadium,Afghanistan,bat,0,8,India
Lucknow,12-10-2023,South Africa,Australia,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Australia,field,134,0,South Africa
Chennai,13-10-2023,Bangladesh,New Zealand,MA Chidambaram Stadium,New Zealand,field,0,8,New Zealand
Ahmedabad,14-10-2023,Pakistan,India,Narendra Modi Stadium,India,field,0,7,India
Delhi,15-10-2023,Afghanistan,England,Arun Jaitley Stadium,England,field,69,0,Afghanistan
Lucknow,16-10-2023,Sri Lanka,Australia,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Sri Lanka,bat,0,5,Australia
Dharamsala,17-10-2023,Netherlands,South Africa,Himachal Pradesh Cricket Association Stadium,South Africa,field,38,0,Netherlands
Chennai,18-10-2023,New Zealand,Afghanistan,MA Chidambaram Stadium,Afghanistan,field,149,0,New Zealand
Pune,19-10-2023,Bangladesh,India,Maharashtra Cricket Association Stadium,Bangladesh,bat,0,7,India
Bengaluru,20-10-2023,Australia,Pakistan,M Chinnaswamy Stadium,Pakistan,field,62,0,Australia
Lucknow,21-10-2023,Netherlands,Sri Lanka,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Netherlands,bat,0,5,Sri Lanka
Mumbai,21-10-2023,South Africa,England,Wankhede Stadium,England,field,229,0,South Africa
Dharamsala,22-10-2023,New Zealand,India,Himachal Pradesh Cricket Association Stadium,India,field,0,4,India
Chennai,23-10-2023,Pakistan,Afghanistan,MA Chidambaram Stadium,Pakistan,bat,0,8,Afghanistan
Mumbai,24-10-2023,South Africa,Bangladesh,Wankhede Stadium,South Africa,bat,149,0,South Africa
Delhi,25-10-2023,Australia,Netherlands,Arun Jaitley Stadium,Australia,bat,309,0,Australia
Bengaluru,26-10-2023,England,Sri Lanka,M Chinnaswamy Stadium,England,bat,0,8,Sri Lanka
Chennai,27-10-2023,Pakistan,South Africa,MA Chidambaram Stadium,Pakistan,bat,0,1,South Africa
Dharamsala,28-10-2023,Australia,New Zealand,Himachal Pradesh Cricket Association Stadium,New Zealand,field,5,0,Australia
Kolkata,28-10-2023,Netherlands,Bangladesh,Eden Gardens,Netherlands,bat,87,0,Netherlands
Lucknow,29-10-2023,India,England,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,England,field,100,0,India
Pune,30-10-2023,Sri Lanka,Afghanistan,Maharashtra Cricket Association Stadium,Afghanistan,field,0,7,Afghanistan
Kolkata,31-10-2023,Bangladesh,Pakistan,Eden Gardens,Bangladesh,bat,0,7,Pakistan
Pune,01-11-2023,South Africa,New Zealand,Maharashtra Cricket Association Stadium,New Zealand,field,190,0,South Africa
Mumbai,02-11-2023,India,Sri Lanka,Wankhede Stadium,Sri Lanka,field,302,0,India
Lucknow,03-11-2023,Netherlands,Afghanistan,Ekana Sports City,Netherlands,bat,0,7,Afghanistan
Bengaluru,04-11-2023,New Zealand,Pakistan,M Chinnaswamy Stadium,Pakistan,field,21,0,Pakistan
Ahmedabad,04-11-2023,Australia,England,Narendra Modi Stadium,England,field,33,0,Australia
Kolkata,05-11-2023,India,South Africa,Eden Gardens,India,bat,243,0,India
Delhi,06-11-2023,Sri Lanka,Bangladesh,Arun Jaitley Stadium,Bangladesh,field,0,3,Bangladesh
Mumbai,07-11-2023,Afghanistan,Australia,Wankhede Stadium,Afghanistan,bat,0,3,Australia
Pune,08-11-2023,England,Netherlands,Maharashtra Cricket Association Stadium,England,bat,160,0,England
Bengaluru,09-11-2023,Sri Lanka,New Zealand,M Chinnaswamy Stadium,New Zealand,field,0,5,New Zealand
Ahmedabad,10-11-2023,Afghanistan,South Africa,Narendra Modi Stadium,Afghanistan,bat,0,5,South Africa
Pune,11-11-2023,Bangladesh,Australia,Maharashtra Cricket Association Stadium,Australia,field,0,8,Australia
Kolkata,11-11-2023,England,Pakistan,Eden Gardens,England,bat,93,0,England
Bengaluru,12-11-2023,India,Netherlands,M Chinnaswamy Stadium,India,bat,160,0,India
Mumbai,15-11-2023,India,New Zealand,Wankhede Stadium,New Zealand,bat,0,0,India
Mumbai,15-11-2023,India,New Zealand,Wankhede Stadium,India,bat,0,0,India
Mumbai,15-11-2023,India,New Zealand,Wankhede Stadium,New Zealand,field,0,0,India
Mumbai,15-11-2023,India,New Zealand,Wankhede Stadium,India,field,0,0,India
Kolkata,16-11-2023,South Africa,Australia,Eden Gardens,Australia,bat,0,0,Australia
Kolkata,16-11-2023,South Africa,Australia,Eden Gardens,South Africa,bat,0,0,Australia
Kolkata,16-11-2023,South Africa,Australia,Eden Gardens,Australia,field,0,0,Australia
Kolkata,16-11-2023,South Africa,Australia,Eden Gardens,South Africa,field,0,0,Australia
Ahmedabad,19-11-2023,India,South Africa,Narendra Modi Stadium,South Africa,bat,0,0,India
